,size,method,run,time_seconds,gflops,cpus
97,10000,numpy,7,1.596831851825118,1252.4800264436583,16
98,10000,numpy,8,1.5957557017914952,1253.3246773015912,16
99,10000,numpy,9,1.5950881344266237,1253.8492117358314,16
0,10,naive,0,0.0008392185904085,0.002383169323056,16
1,10,naive,1,0.0008297810330986,0.002410274422074,16
2,10,naive,2,0.0008319489657878,0.0024039936128845,16
3,10,naive,3,0.0006956735625863,0.0028749116073415,16
4,10,naive,4,0.0006859353743493,0.0029157265754038,16
5,10,naive,5,0.0006883357651531,0.0029055587421858,16
6,10,naive,6,0.0006919847801327,0.002890236978357,16
7,10,naive,7,0.0006935336627066,0.0028837821544158,16
8,10,naive,8,0.0006916159763932,0.0028917781952204,16
9,10,naive,9,0.0006920508109033,0.0028899612116478,16
10,50,naive,0,0.0852067579515278,0.0029340395763235,16
11,50,naive,1,0.0846607445739209,0.0029529624533565,16
12,50,naive,2,0.0843565966002643,0.0029636093687451,16
13,50,naive,3,0.0710209794342517,0.0035200866278032,16
14,50,naive,4,0.0574089625850319,0.0043547207394613,16
15,50,naive,5,0.0564735075458884,0.0044268544821101,16
16,50,naive,6,0.05622418820858,0.0044464848309156,16
17,50,naive,7,0.056334725394845,0.0044377601603233,16
18,50,naive,8,0.0563432994298636,0.0044370848446885,16
19,50,naive,9,0.0562453336082398,0.0044448131775926,16
20,100,naive,0,0.45034468062222,0.004441042796901,16
21,100,naive,1,0.4506467787548899,0.0044380656742424,16
22,100,naive,2,0.4500310730189085,0.0044441375716204,16
23,100,naive,3,0.4504580050706863,0.004439925536868,16
24,100,naive,4,0.4500358117744326,0.0044440907760523,16
25,100,naive,5,0.450368529651314,0.0044408076238107,16
26,100,naive,6,0.4501179579645395,0.0044432797328151,16
27,100,naive,7,0.4501661644317209,0.0044428039200252,16
28,100,naive,8,0.4500737252645194,0.00444371641296,16
29,100,naive,9,0.45046744113788,0.0044398325325089,16
30,250,naive,0,7.0209018971771,0.004450995108273,16
31,250,naive,1,6.997697589639574,0.0044657545713703,16
32,250,naive,2,7.005829950608313,0.0044605707275676,16
33,250,naive,3,7.010033028386533,0.0044578962571867,16
34,250,naive,4,7.012657901458442,0.0044562276442289,16
35,250,naive,5,7.0085107931867245,0.0044588645037658,16
36,250,naive,6,7.012026976794004,0.0044566286044563,16
37,250,naive,7,6.995083570387214,0.0044674233960967,16
38,250,naive,8,7.030795667599887,0.0044447316459515,16
39,250,naive,9,7.031774576753378,0.0044441128848627,16
40,500,naive,0,52.337314451765266,0.0047767066885023,16
41,500,naive,1,52.37763766124844,0.0047730293148551,16
42,500,naive,2,51.93967955680564,0.004813275748584,16
43,500,naive,3,51.84268076503649,0.0048222814929856,16
44,500,naive,4,52.03750948999077,0.0048042268442552,16
45,500,naive,5,52.337314451765266,0.0047767066885023,16
46,500,naive,6,52.37763766124844,0.0047730293148551,16
47,500,naive,7,51.93967955680564,0.004813275748584,16
48,500,naive,8,51.84268076503649,0.0048222814929856,16
49,500,naive,9,52.03750948999077,0.0048042268442552,16
0,10,numba,0,0.0181322341784834,0.0001103008035476,16
1,10,numba,1,0.0181873054243624,0.0001099668121986,16
2,10,numba,2,0.0176184529438614,0.0001135173449321,16
3,10,numba,3,0.009610017761588,0.0002081161606166,16
4,10,numba,4,3.928560763597488e-05,0.0509092291134259,16
5,10,numba,5,3.800345584750176e-05,0.0526267928902438,16
6,10,numba,6,3.6808941513299945e-05,0.0543346240825032,16
7,10,numba,7,4.221322014927864e-05,0.0473785224848376,16
8,10,numba,8,3.812555223703384e-05,0.0524582565405379,16
9,10,numba,9,3.735404461622238e-05,0.0535417254154969,16
